yearRequest,monthRequest,dateRequest,yearClosed,monthClosed,dateClosed,srvrequestid,caseagedays,status,servicename,latitude,longitude,district
2021,Feb,2021-02-24,2021,Mar,2021-03-24,3255364,28,Closed,Pothole,32.7063273,-117.15113,3
2021,Feb,2021-02-24,,,,3255417,32,In Process,Pothole,32.8202269,-117.17365,6
2021,Feb,2021-02-24,2021,Mar,2021-03-03,3255426,7,Closed,Pothole,32.9048035,-117.13336,6
2021,Feb,2021-02-24,2021,Feb,2021-02-25,3255455,1,Closed,Pothole,32.8502773,-117.25203,1
2021,Feb,2021-02-24,,,,3255526,32,In Process,Pothole,32.5680421,-117.06862,8
2021,Feb,2021-02-24,2021,Feb,2021-02-26,3255596,2,Closed,Pothole,32.6905554,-117.24505,2
2021,Feb,2021-02-24,2021,Mar,2021-03-15,3255639,19,Closed,Pothole,32.9563054,-117.22564,1
2021,Feb,2021-02-24,,,,3255647,32,In Process,Pothole,32.7536992,-117.16379,3
2021,Feb,2021-02-24,2021,Mar,2021-03-05,3255650,9,Closed,Pothole,32.7502876,-117.20801,2
2021,Feb,2021-02-24,2021,Feb,2021-02-26,3255665,2,Closed,Pothole,32.7500465,-117.1591,3
2021,Feb,2021-02-24,2021,Feb,2021-02-25,3255681,1,Closed,Pothole,32.8269834,-117.26293,1
2021,Feb,2021-02-24,2021,Feb,2021-02-25,3255683,1,Closed,Pothole,32.8265706,-117.26401,1
2021,Feb,2021-02-24,2021,Feb,2021-02-25,3255686,1,Closed,Pothole,32.8259503,-117.26464,1
2021,Feb,2021-02-24,2021,Mar,2021-03-12,3255732,16,Closed,Pothole,32.810969,-117.26649,1
2021,Feb,2021-02-24,2021,Feb,2021-02-25,3255758,1,Closed,Pothole,32.7490658,-117.08502,9
2021,Feb,2021-02-24,,,,3255759,32,In Process,Pothole,32.6959254,-117.1338,8
2021,Feb,2021-02-24,2021,Feb,2021-02-26,3255765,2,Closed,Pothole,32.8446259,-117.24173,1
2021,Feb,2021-02-24,2021,Mar,2021-03-11,3255767,15,Closed,Pothole,32.8687256,-117.21566,1
2021,Feb,2021-02-24,2021,Mar,2021-03-04,3255839,8,Closed,Pothole,33.0054368,-117.09139,5
2021,Feb,2021-02-24,2021,Feb,2021-02-25,3255858,0,Closed,Pothole,32.8494762,-117.25023,1
2021,Feb,2021-02-24,2021,Feb,2021-02-26,3255864,1,Closed,Pothole,32.7635716,-117.06032,9
2021,Feb,2021-02-24,,,,3255865,32,In Process,Pothole,32.7632966,-117.0605,9
2021,Feb,2021-02-24,,,,3255866,32,In Process,Pothole,32.7631833,-117.06062,9
2021,Feb,2021-02-24,,,,3255867,32,In Process,Pothole,32.76248,-117.06128,9
2021,Feb,2021-02-24,,,,3255868,32,In Process,Pothole,32.7621383,-117.06128,9
2021,Feb,2021-02-24,2021,Mar,2021-03-01,3255869,5,Closed,Pothole,32.75262,-117.06554,9
2021,Feb,2021-02-24,2021,Mar,2021-03-01,3255870,5,Closed,Pothole,32.752425,-117.06618,9
2021,Feb,2021-02-24,2021,Feb,2021-02-25,3255871,0,Closed,Pothole,32.747845,-117.07515,9
2021,Feb,2021-02-24,,,,3255872,32,In Process,Pothole,32.7488033,-117.07926,9
2021,Feb,2021-02-25,2021,Mar,2021-03-09,3255890,12,Closed,Pothole,32.8757241,-117.2436,1
2021,Feb,2021-02-25,2021,Mar,2021-03-09,3255893,12,Closed,Pothole,32.869817,-117.24836,1
2021,Feb,2021-02-25,2021,Feb,2021-02-25,3255909,0,Closed,Pothole,32.8328196,-117.15427,6
2021,Feb,2021-02-25,2021,Feb,2021-02-26,3255927,1,Closed,Pothole,32.7498918,-117.16045,3
2021,Feb,2021-02-25,2021,Mar,2021-03-26,3255929,29,Closed,Pothole,32.8826241,-117.15661,6
2021,Feb,2021-02-25,,,,3255940,32,In Process,Pothole,32.795167,-117.01676,7
2021,Feb,2021-02-25,,,,3255949,32,In Process,Pothole,32.7931834,-117.01834,7
2021,Feb,2021-02-25,2021,Feb,2021-02-25,3255952,0,Closed,Pothole,33.0142202,-117.06694,5
2021,Feb,2021-02-25,,,,3255956,32,In Process,Pothole,33.0140747,-117.06695,5
2021,Feb,2021-02-25,,,,3255966,32,In Process,Pothole,33.0132999,-117.06568,5
2021,Feb,2021-02-25,,,,3255970,32,In Process,Pothole,33.0138536,-117.06493,5
2021,Feb,2021-02-25,2021,Feb,2021-02-25,3255974,0,Closed,Pothole,33.013878,-117.06476,5
2021,Feb,2021-02-25,,,,3256021,32,In Process,Pothole,33.043834,-117.06415,5
2021,Feb,2021-02-25,2021,Feb,2021-02-25,3256037,0,Closed,Pothole,32.5605828,-116.96251,8
2021,Feb,2021-02-25,2021,Feb,2021-02-26,3256107,1,Closed,Pothole,32.7452883,-117.19818,2
2021,Feb,2021-02-25,2021,Feb,2021-02-26,3256134,1,Closed,Pothole,32.7500197,-117.16002,3
2021,Feb,2021-02-25,2021,Feb,2021-02-26,3256161,1,Closed,Pothole,32.7484892,-117.14372,3
2021,Feb,2021-02-25,2021,Mar,2021-03-02,3256255,5,Closed,Pothole,32.9091703,-117.13127,6
2021,Feb,2021-02-25,,,,3256317,32,In Process,Pothole,32.8776633,-117.17165,6
2021,Feb,2021-02-25,2021,Feb,2021-02-26,3256389,1,Closed,Pothole,32.8037161,-117.01362,7
2021,Feb,2021-02-25,2021,Mar,2021-03-02,3256902,5,Closed,Pothole,32.8716855,-117.23318,1
2021,Feb,2021-02-25,,,,3256404,31,In Process,Pothole,32.5838989,-117.08602,8
2021,Feb,2021-02-25,,,,3256417,31,In Process,Pothole,32.5763938,-117.07994,8
2021,Feb,2021-02-25,,,,3256418,31,In Process,Pothole,32.8026073,-117.08824,7
2021,Feb,2021-02-25,,,,3256420,31,In Process,Pothole,32.5764842,-117.07581,8
2021,Feb,2021-02-25,2021,Feb,2021-02-26,3256455,1,Closed,Pothole,32.8642618,-117.25255,1
2021,Feb,2021-02-25,2021,Feb,2021-02-26,3256466,1,Closed,Pothole,32.863698,-117.25298,1
2021,Feb,2021-02-25,2021,Feb,2021-02-26,3256477,1,Closed,Pothole,32.8595785,-117.25351,1
2021,Feb,2021-02-25,2021,Feb,2021-02-26,3256485,1,Closed,Pothole,33.0400398,-117.05382,5
2021,Feb,2021-02-25,2021,Feb,2021-02-26,3256490,1,Closed,Pothole,32.8587864,-117.25355,1
2021,Feb,2021-02-25,2021,Mar,2021-03-22,3256495,25,Closed,Pothole,32.7433793,-117.18126,3
2021,Feb,2021-02-25,2021,Feb,2021-02-26,3256525,1,Closed,Pothole,32.8551148,-117.25378,1
